Title,Type,Description,Labels,Estimate,Epic,Depends On
Carrier Marketplace — Post Truck,Story,"POST /api/marketplace/trucks for available trucks (geo/time/equipment).",backend;marketplace,5,Carrier Marketplace,
Carrier Marketplace — Load Search,Story,"GET /api/marketplace/loads/search with filters (lane,date,equipment,rate).",backend;marketplace;search,5,Carrier Marketplace,
Carrier Marketplace — Match/Bid,Story,"POST /api/marketplace/match to express interest/bid on load; transitions.",backend;marketplace;offers,5,Carrier Marketplace,Carrier Marketplace — Load Search
Carrier Marketplace — Chat Threads,Story,"Threads between poster and bidder; messages; receipts.",backend;marketplace;chat,5,Carrier Marketplace,Carrier Marketplace — Match/Bid
App — Marketplace UI (Post/Search/Chat),Story,"Screens for posting trucks, searching loads, bidding, chatting.",app;marketplace;ux,8,Carrier Marketplace,"Carrier Marketplace — Post Truck,Carrier Marketplace — Load Search,Carrier Marketplace — Chat Threads"
Moderation & Abuse Controls,Story,"Auto-flag spam/abuse; 429 rate-limits; admin resolve endpoint.",backend;marketplace;security,5,Marketplace Hardening,
Notifications & Subscriptions,Story,"User prefs (email/push/sms); topics; test-send endpoint.",backend;notifications,5,Marketplace Hardening,
Escrow Readiness (Stubs),Story,"Hold/release API stubs; audit scaffolding (no-op).",backend;finance;design,3,Marketplace Hardening,
Claims — Create & Lifecycle,Story,"Create claim; statuses open/in_review/submitted/paid/denied; timeline/audit.",backend;claims,8,Claims Workflow,
Claims — Docs Upload & Pack,Story,"Attach docs; PDF pack generation.",backend;claims;documents,5,Claims Workflow,Claims — Create & Lifecycle
Claims SLAs (Org Rules),Story,"CRUD SLA rules (target_days/auto_escalate) and apply to claims.",backend;claims,5,Claims Workflow v2,Claims — Create & Lifecycle
Adjuster Assignments,Story,"Assign adjuster; comments; audit.",backend;claims,3,Claims Workflow v2,Claims SLAs (Org Rules)
App — Claims UI,Story,"Create claim, attach photos/docs, track status; share pack.",app;claims;ux,8,Claims Workflow,Claims — Docs Upload & Pack
Driver Scorecards v2 — API,Story,"Score/streaks/peer rank; metrics: speeding/harsh/dwell/ontime.",backend;safety;analytics,8,Driver Scorecards v2,
Scorecards Cohort Benchmarks,Story,"Cohort percentiles by terminal/region/equipment.",backend;safety;analytics,5,Driver Scorecards v2,Driver Scorecards v2 — API
Coaching Task Model + API,Story,"CRUD coaching_tasks; RLS; audit.",backend;safety,5,Coaching,
Create Coaching from Low Metric,Story,"From scorecards: create coaching task with context.",backend;safety,3,Coaching,Scorecards Cohort Benchmarks
App — Scorecards v2 UI,Story,"Driver profile shows score, streaks, rank; badges.",app;safety;ux,5,Driver Scorecards v2,Driver Scorecards v2 — API
Dispatch Optimizer (Multi-load),Story,"Optimize assignments across loads/drivers under HOS/equipment/windows.",backend;dispatch;optimization,13,Dispatch Optimizer,
Assign Board — Optimizer UI,Story,"Accept/override suggestions; deltas (miles,on-time).",app;dispatch;ux,8,Dispatch Optimizer,Dispatch Optimizer (Multi-load)
